Sequence	KO
Phaffomyces_thermotolerans_35672_x_lcl_flattened_line_42_c42521_41640_lcl_flattened_line_42_c42521_41640_ORF945_flattened_line_42_42520_41639	NA
Phaffomyces_thermotolerans_35672_x_lcl_flattened_line_99_c16636_15620_lcl_flattened_line_99_c16636_15620_ORF263_flattened_line_99_16635_15619	NA
Pichia_exigua_34629_x_lcl_flattened_line_6_240373_241224_lcl_flattened_line_6_240373_241224_ORF363_flattened_line_6_240372_241223	NA
Pichia_heedii_34627_x_lcl_NODE_61_length_53777_cov_13.058_ID_121_18055_18900_lcl_NODE_61_length_53777_cov_13.058_ID_121_18055_18900_ORF27_NODE_61_length_53777_cov_13.058_ID_121_18054_18899	NA
Pichia_kudriavzevii_34625_x_lcl_scf7180000023398_15438_16301_lcl_scf7180000023398_15438_16301_ORF670_scf7180000023398_15437_16300	NA
Pichia_membranifaciens_x_lcl_scaffold_4_c186463_185612_lcl_scaffold_4_c186463_185612_ORF11373_scaffold_4_186462_185611	NA
Pichia_nakasei_34624_x_lcl_NODE_15_length_272279_cov_85.9412_ID_29_151271_152116_lcl_NODE_15_length_272279_cov_85.9412_ID_29_151271_152116_ORF702_NODE_15_length_272279_cov_85.9412_ID_29_151270_152115	NA
Pichia_norvegensis_34623_x_lcl_flattened_line_62_c40406_39567_lcl_flattened_line_62_c40406_39567_ORF1255_flattened_line_62_40405_39566	NA
Pichia_occidentalis_34622_x_lcl_NODE_126_length_3687_cov_59.0463_ID_251_2819_3685_lcl_NODE_126_length_3687_cov_59.0463_ID_251_2819_3685_ORF17_NODE_126_length_3687_cov_59.0463_ID_251_2818_3684	NA
Pichia_occidentalis_34622_x_lcl_NODE_20_length_173296_cov_14.6245_ID_39_122976_124004_lcl_NODE_20_length_173296_cov_14.6245_ID_39_122976_124004_ORF953_NODE_20_length_173296_cov_14.6245_ID_39_122975_124003	NA
Pichia_terricola_35301_x_lcl_NODE_26_length_141271_cov_17.1813_ID_4286_42002_42937_lcl_NODE_26_length_141271_cov_17.1813_ID_4286_42002_42937_ORF412_NODE_26_length_141271_cov_17.1813_ID_4286_42001_42936	NA
Priceomyces_carsonii_35296_x_lcl_NODE_19_length_288652_cov_20.3611_ID_1693_c286040_285087_lcl_NODE_19_length_288652_cov_20.3611_ID_1693_c286040_285087_ORF2399_NODE_19_length_288652_cov_20.3611_ID_1693_286039_285086	NA
Priceomyces_carsonii_35296_x_lcl_NODE_7_length_610485_cov_21.9312_ID_4191_423770_424621_lcl_NODE_7_length_610485_cov_21.9312_ID_4191_423770_424621_ORF1622_NODE_7_length_610485_cov_21.9312_ID_4191_423769_424620	NA
Priceomyces_carsonii_35296_x_lcl_NODE_8_length_443067_cov_22.9177_ID_3374_c10258_10058_lcl_NODE_8_length_443067_cov_22.9177_ID_3374_c10258_10058_ORF4491_NODE_8_length_443067_cov_22.9177_ID_3374_10257_10057	NA
Priceomyces_carsonii_35296_x_lcl_NODE_8_length_443067_cov_22.9177_ID_3374_c9863_9666_lcl_NODE_8_length_443067_cov_22.9177_ID_3374_c9863_9666_ORF3793_NODE_8_length_443067_cov_22.9177_ID_3374_9862_9665	NA
Priceomyces_castillae_35297_x_lcl_NODE_15_length_323123_cov_9.75563_ID_7113_263339_264187_lcl_NODE_15_length_323123_cov_9.75563_ID_7113_263339_264187_ORF989_NODE_15_length_323123_cov_9.75563_ID_7113_263338_264186	NA
Priceomyces_castillae_35297_x_lcl_NODE_31_length_104974_cov_9.44122_ID_4509_c102081_101137_lcl_NODE_31_length_104974_cov_9.44122_ID_4509_c102081_101137_ORF717_NODE_31_length_104974_cov_9.44122_ID_4509_102080_101136	NA
Priceomyces_haplophilus_x_gi_1002316138_dbj_BCIF01000002.1_c1504117_1503125_gi_1002316138_dbj_BCIF01000002.1_c1504117_1503125_ORF17619_1002316138_1504116_1503124	NA
Priceomyces_haplophilus_x_gi_1002316138_dbj_BCIF01000002.1_c390007_389159_gi_1002316138_dbj_BCIF01000002.1_c390007_389159_ORF19699_1002316138_390006_389158	NA
Priceomyces_medius_34606_x_lcl_flattened_line_0_1127793_1128644_lcl_flattened_line_0_1127793_1128644_ORF7059_flattened_line_0_1127792_1128643	NA
Priceomyces_medius_34606_x_lcl_flattened_line_0_2891_3832_lcl_flattened_line_0_2891_3832_ORF2583_flattened_line_0_2890_3831	NA
Saccharomyces_arboricola_x_lcl_NC_026180.1_588047_588895_lcl_NC_026180.1_588047_588895_ORF2393_NC_026180.1_588046_588894	NA
Saccharomyces_cerevisiae_x_ref_NC_001142_611195_612043_ref_NC_001142_611195_612043_ORF2578_NC_001142_611194_612042	NA
Saccharomyces_eubayanus_x_lcl_chrX_599917_600765_lcl_chrX_599917_600765_ORF1100_chrX_599916_600764	NA
Saccharomyces_kudriavzevii_x_lcl_Skud_10_568560_569408_lcl_Skud_10_568560_569408_ORF3837_Skud_10_568559_569407	NA
Saccharomyces_mikatae_x_lcl_Smik_10_600025_600945_lcl_Smik_10_600025_600945_ORF1037_Smik_10_600024_600944	NA
Saccharomyces_paradoxus_x_lcl_Spar_10_587435_588298_lcl_Spar_10_587435_588298_ORF2403_Spar_10_587434_588297	NA
Saccharomyces_uvarum_x_lcl_Sbay_12_289608_290456_lcl_Sbay_12_289608_290456_ORF2236_Sbay_12_289607_290455	NA
Saccharomycopsis_capsularis_34607_x_lcl_flattened_line_222_2356_3225_lcl_flattened_line_222_2356_3225_ORF5_flattened_line_222_2355_3224	NA
Saccharomycopsis_capsularis_34607_x_lcl_flattened_line_222_781_1815_lcl_flattened_line_222_781_1815_ORF4_flattened_line_222_780_1814	NA
Saccharomycopsis_capsularis_34607_x_lcl_flattened_line_46_c231000_230131_lcl_flattened_line_46_c231000_230131_ORF1419_flattened_line_46_230999_230130	NA
Saccharomycopsis_capsularis_34607_x_lcl_flattened_line_46_c232514_231528_lcl_flattened_line_46_c232514_231528_ORF1894_flattened_line_46_232513_231527	NA
Saccharomycopsis_capsularis_34607_x_lcl_flattened_line_56_145943_146854_lcl_flattened_line_56_145943_146854_ORF783_flattened_line_56_145942_146853	NA
Saccharomycopsis_malanga_x_gi_1002316406_dbj_BCGJ01000012.1_402872_403720_gi_1002316406_dbj_BCGJ01000012.1_402872_403720_ORF1621_1002316406_402871_403719	NA
Saccharomycopsis_malanga_x_gi_1002316410_dbj_BCGJ01000008.1_c777790_776933_gi_1002316410_dbj_BCGJ01000008.1_c777790_776933_ORF8264_1002316410_777789_776932	NA
Saccharomycopsis_malanga_x_gi_1002316410_dbj_BCGJ01000008.1_c779732_778863_gi_1002316410_dbj_BCGJ01000008.1_c779732_778863_ORF6615_1002316410_779731_778862	NA
Saturnispora_dispora_35659_x_lcl_NODE_8_length_274536_cov_13.0098_ID_15_163606_164442_lcl_NODE_8_length_274536_cov_13.0098_ID_15_163606_164442_ORF312_NODE_8_length_274536_cov_13.0098_ID_15_163605_164441	NA
Saturnispora_hagleri_34610_x_lcl_NODE_1_length_1340882_cov_20.2954_ID_1_1175955_1176806_lcl_NODE_1_length_1340882_cov_20.2954_ID_1_1175955_1176806_ORF7121_NODE_1_length_1340882_cov_20.2954_ID_1_1175954_1176805	NA
Saturnispora_saitoi_34612_x_lcl_flattened_line_8_387990_388826_lcl_flattened_line_8_387990_388826_ORF2264_flattened_line_8_387989_388825	NA
Saturnispora_serradocipensis_34613_x_lcl_flattened_line_6_c42684_41848_lcl_flattened_line_6_c42684_41848_ORF3859_flattened_line_6_42683_41847	NA
Saturnispora_zaruensis_34615_x_lcl_NODE_1_length_1371552_cov_40.6037_ID_1_c1026095_1025259_lcl_NODE_1_length_1371552_cov_40.6037_ID_1_c1026095_1025259_ORF10648_NODE_1_length_1371552_cov_40.6037_ID_1_1026094_1025258	NA
Scheffersomyces_lignosus_x_gi_1002316364_dbj_BCGS01000009.1_c179534_178680_gi_1002316364_dbj_BCGS01000009.1_c179534_178680_ORF3675_1002316364_179533_178679	NA
Scheffersomyces_lignosus_x_gi_1002316369_dbj_BCGS01000004.1_1692253_1693272_gi_1002316369_dbj_BCGS01000004.1_1692253_1693272_ORF3449_1002316369_1692252_1693271	NA
Scheffersomyces_lignosus_x_gi_1002316369_dbj_BCGS01000004.1_1694647_1695567_gi_1002316369_dbj_BCGS01000004.1_1694647_1695567_ORF3455_1002316369_1694646_1695566	NA
Scheffersomyces_stipitis_x_lcl_chr_4.1_c950820_949900_lcl_chr_4.1_c950820_949900_ORF20389_chr_4.1_950819_949899	NA
Scheffersomyces_stipitis_x_lcl_chr_4.1_c952365_951406_lcl_chr_4.1_c952365_951406_ORF20387_chr_4.1_952364_951405	NA
Spathaspora_arborariae_x_lcl_KI547140.1_208168_209013_lcl_KI547140.1_208168_209013_ORF298_KI547140.1_208167_209012	NA
Spathaspora_arborariae_x_lcl_KI547153.1_122877_123830_lcl_KI547153.1_122877_123830_ORF757_KI547153.1_122876_123829	NA
Spathaspora_girioi_x_lcl_LQMS01002273.1_c38088_37135_lcl_LQMS01002273.1_c38088_37135_ORF362_LQMS01002273.1_38087_37134	NA
Spathaspora_girioi_x_lcl_LQMS01002277.1_c28809_27940_lcl_LQMS01002277.1_c28809_27940_ORF443_LQMS01002277.1_28808_27939	NA
Spathaspora_gorwiae_x_lcl_LQMZ01000731.1_4931_5881_lcl_LQMZ01000731.1_4931_5881_ORF36_LQMZ01000731.1_4930_5880	NA
Spathaspora_gorwiae_x_lcl_LQMZ01000731.1_6387_7316_lcl_LQMZ01000731.1_6387_7316_ORF65_LQMZ01000731.1_6386_7315	NA
Spathaspora_gorwiae_x_lcl_LQMZ01001220.1_18444_19337_lcl_LQMZ01001220.1_18444_19337_ORF133_LQMZ01001220.1_18443_19336	NA
Spathaspora_hagerdaliae_x_lcl_LQHL01001413.1_7237_8256_lcl_LQHL01001413.1_7237_8256_ORF11_LQHL01001413.1_7236_8255	NA
Spathaspora_hagerdaliae_x_lcl_LQHL01001468.1_2380_3312_lcl_LQHL01001468.1_2380_3312_ORF4_LQHL01001468.1_2379_3311	NA
Spathaspora_hagerdaliae_x_lcl_LQHL01001468.1_916_1869_lcl_LQHL01001468.1_916_1869_ORF3_LQHL01001468.1_915_1868	NA
Spathaspora_passalidarum_x_lcl_scaffold_3_569194_570195_lcl_scaffold_3_569194_570195_ORF969_scaffold_3_569193_570194	NA
Spathaspora_passalidarum_x_lcl_scaffold_5_c1448345_1447380_lcl_scaffold_5_c1448345_1447380_ORF9545_scaffold_5_1448344_1447379	NA
Spencermartinsiella_europaea_34605_x_lcl_NODE_2_length_1276072_cov_27.1787_ID_3_c87941_87096_lcl_NODE_2_length_1276072_cov_27.1787_ID_3_c87941_87096_ORF16969_NODE_2_length_1276072_cov_27.1787_ID_3_87940_87095	NA
Sporopachydermia_lactativora_34604_x_lcl_NODE_2_length_287206_cov_30.0926_ID_3_c23650_22799_lcl_NODE_2_length_287206_cov_30.0926_ID_3_c23650_22799_ORF2311_NODE_2_length_287206_cov_30.0926_ID_3_23649_22798	NA
Sporopachydermia_lactativora_34604_x_lcl_NODE_4_length_277153_cov_35.8334_ID_7_c193093_192230_lcl_NODE_4_length_277153_cov_35.8334_ID_7_c193093_192230_ORF1803_NODE_4_length_277153_cov_35.8334_ID_7_193092_192229	NA
Sporopachydermia_lactativora_34604_x_lcl_NODE_919_length_376_cov_0.957198_ID_1837_8_325_lcl_NODE_919_length_376_cov_0.957198_ID_1837_8_325_ORF1_NODE_919_length_376_cov_0.957198_ID_1837_7_324	NA
Sporopachydermia_quercuum_x_gi_1002316346_dbj_BCGN01000007.1_387235_388095_gi_1002316346_dbj_BCGN01000007.1_387235_388095_ORF707_1002316346_387234_388094	NA
Sporopachydermia_quercuum_x_gi_1002316351_dbj_BCGN01000002.1_c1515397_1514546_gi_1002316351_dbj_BCGN01000002.1_c1515397_1514546_ORF13415_1002316351_1515396_1514545	NA
Sporopachydermia_quercuum_x_gi_1002316352_dbj_BCGN01000001.1_481903_482757_gi_1002316352_dbj_BCGN01000001.1_481903_482757_ORF826_1002316352_481902_482756	NA
Starmera_amethionina_35658_x_lcl_flattened_line_10_210227_211102_lcl_flattened_line_10_210227_211102_ORF705_flattened_line_10_210226_211101	NA
Starmera_amethionina_35658_x_lcl_flattened_line_124_56634_57479_lcl_flattened_line_124_56634_57479_ORF324_flattened_line_124_56633_57478	NA
Starmera_amethionina_35658_x_lcl_flattened_line_8_96176_97075_lcl_flattened_line_8_96176_97075_ORF589_flattened_line_8_96175_97074	NA
Starmera_quercuum_34594_x_lcl_flattened_line_0_c506246_505395_lcl_flattened_line_0_c506246_505395_ORF6821_flattened_line_0_506245_505394	NA
Starmera_quercuum_34594_x_lcl_flattened_line_13_331200_332084_lcl_flattened_line_13_331200_332084_ORF2119_flattened_line_13_331199_332083	NA
Starmera_quercuum_34594_x_lcl_flattened_line_87_c44958_44023_lcl_flattened_line_87_c44958_44023_ORF1040_flattened_line_87_44957_44022	NA
Tetrapisispora_iriomotensis_34876_x_lcl_flattened_line_31_59962_60819_lcl_flattened_line_31_59962_60819_ORF91_flattened_line_31_59961_60818	NA
Torulaspora_delbrueckii_x_lcl_scaffold_3_591165_592022_lcl_scaffold_3_591165_592022_ORF6087_scaffold_3_591164_592021	NA
Torulaspora_franciscae_26152_x_lcl_flattened_line_46_c21027_20128_lcl_flattened_line_46_c21027_20128_ORF702_flattened_line_46_21026_20127	NA
Torulaspora_franciscae_26152_x_lcl_flattened_line_5_134910_135812_lcl_flattened_line_5_134910_135812_ORF2902_flattened_line_5_134909_135811	NA
Torulaspora_franciscae_26152_x_lcl_flattened_line_5_597104_597955_lcl_flattened_line_5_597104_597955_ORF2523_flattened_line_5_597103_597954	NA
Torulaspora_maleeae_35652_x_lcl_NODE_13_length_246656_cov_69.2189_ID_1990_22866_23768_lcl_NODE_13_length_246656_cov_69.2189_ID_1990_22866_23768_ORF1040_NODE_13_length_246656_cov_69.2189_ID_1990_22865_23767	NA
Torulaspora_maleeae_35652_x_lcl_NODE_20_length_85425_cov_54.9917_ID_2514_c53914_53057_lcl_NODE_20_length_85425_cov_54.9917_ID_2514_c53914_53057_ORF1017_NODE_20_length_85425_cov_54.9917_ID_2514_53913_53056	NA
Torulaspora_microellipsoides_35651_x_lcl_flattened_line_1_c166655_165804_lcl_flattened_line_1_c166655_165804_ORF7913_flattened_line_1_166654_165803	NA
Torulaspora_pretoriensis_34881_x_lcl_flattened_line_12_375201_376052_lcl_flattened_line_12_375201_376052_ORF3258_flattened_line_12_375200_376051	NA
Torulaspora_pretoriensis_34881_x_lcl_flattened_line_12_c249449_248598_lcl_flattened_line_12_c249449_248598_ORF7030_flattened_line_12_249448_248597	NA
Torulaspora_pretoriensis_34881_x_lcl_flattened_line_18_140746_141648_lcl_flattened_line_18_140746_141648_ORF293_flattened_line_18_140745_141647	NA
Vanderwaltozyma_polyspora_x_lcl_NW_001834682.1_c201421_200564_lcl_NW_001834682.1_c201421_200564_ORF1335_NW_001834682.1_201420_200563	NA
Wickerhamia_fluorescens_x_gi_1002316302_dbj_BCGE01000002.1_1469133_1470083_gi_1002316302_dbj_BCGE01000002.1_1469133_1470083_ORF11027_1002316302_1469132_1470082	NA
Wickerhamomyces_alni_35274_x_lcl_NODE_15_length_209627_cov_11.6964_ID_18026_196597_197499_lcl_NODE_15_length_209627_cov_11.6964_ID_18026_196597_197499_ORF446_NODE_15_length_209627_cov_11.6964_ID_18026_196596_197498	NA
Wickerhamomyces_alni_35274_x_lcl_NODE_1_length_1016687_cov_11.3563_ID_17831_c418548_417670_lcl_NODE_1_length_1016687_cov_11.3563_ID_17831_c418548_417670_ORF11223_NODE_1_length_1016687_cov_11.3563_ID_17831_418547_417669	NA
Wickerhamomyces_alni_35274_x_lcl_NODE_20_length_174309_cov_13.8906_ID_18056_79625_80605_lcl_NODE_20_length_174309_cov_13.8906_ID_18056_79625_80605_ORF512_NODE_20_length_174309_cov_13.8906_ID_18056_79624_80604	NA
Wickerhamomyces_alni_35274_x_lcl_NODE_4_length_618645_cov_11.4762_ID_4643_457870_458739_lcl_NODE_4_length_618645_cov_11.4762_ID_4643_457870_458739_ORF937_NODE_4_length_618645_cov_11.4762_ID_4643_457869_458738	NA
Wickerhamomyces_alni_35274_x_lcl_NODE_4_length_618645_cov_11.4762_ID_4643_c447786_446923_lcl_NODE_4_length_618645_cov_11.4762_ID_4643_c447786_446923_ORF3976_NODE_4_length_618645_cov_11.4762_ID_4643_447785_446922	NA
Wickerhamomyces_anomalus_x_lcl_scaffold_2_1586999_1587961_lcl_scaffold_2_1586999_1587961_ORF6364_scaffold_2_1586998_1587960	NA
Wickerhamomyces_anomalus_x_lcl_scaffold_2_1588195_1589097_lcl_scaffold_2_1588195_1589097_ORF2601_scaffold_2_1588194_1589096	NA
Wickerhamomyces_anomalus_x_lcl_scaffold_2_c1577101_1576115_lcl_scaffold_2_c1577101_1576115_ORF20131_scaffold_2_1577100_1576114	NA
Wickerhamomyces_anomalus_x_lcl_scaffold_3_73288_74163_lcl_scaffold_3_73288_74163_ORF135_scaffold_3_73287_74162	NA
Wickerhamomyces_anomalus_x_lcl_scaffold_3_c759351_758461_lcl_scaffold_3_c759351_758461_ORF14012_scaffold_3_759350_758460	NA
Wickerhamomyces_anomalus_x_lcl_scaffold_4_214741_215595_lcl_scaffold_4_214741_215595_ORF326_scaffold_4_214740_215594	NA
Wickerhamomyces_bovis_35271_x_lcl_NODE_11_length_296904_cov_22.075_ID_2611_c102554_101679_lcl_NODE_11_length_296904_cov_22.075_ID_2611_c102554_101679_ORF2802_NODE_11_length_296904_cov_22.075_ID_2611_102553_101678	NA
Wickerhamomyces_bovis_35271_x_lcl_NODE_17_length_233845_cov_24.4945_ID_2323_206319_207305_lcl_NODE_17_length_233845_cov_24.4945_ID_2323_206319_207305_ORF1376_NODE_17_length_233845_cov_24.4945_ID_2323_206318_207304	NA
Wickerhamomyces_bovis_35271_x_lcl_NODE_39_length_68748_cov_27.3738_ID_3862_33444_34346_lcl_NODE_39_length_68748_cov_27.3738_ID_3862_33444_34346_ORF369_NODE_39_length_68748_cov_27.3738_ID_3862_33443_34345	NA
Wickerhamomyces_canadensis_35639_x_lcl_NODE_13_length_322948_cov_28.8158_ID_7294_43763_44638_lcl_NODE_13_length_322948_cov_28.8158_ID_7294_43763_44638_ORF713_NODE_13_length_322948_cov_28.8158_ID_7294_43762_44637	NA
Wickerhamomyces_canadensis_35639_x_lcl_NODE_13_length_322948_cov_28.8158_ID_7294_c23655_22777_lcl_NODE_13_length_322948_cov_28.8158_ID_7294_c23655_22777_ORF3133_NODE_13_length_322948_cov_28.8158_ID_7294_23654_22776	NA
Wickerhamomyces_canadensis_35639_x_lcl_NODE_28_length_184384_cov_26.2919_ID_2487_c27752_26748_lcl_NODE_28_length_184384_cov_26.2919_ID_2487_c27752_26748_ORF2067_NODE_28_length_184384_cov_26.2919_ID_2487_27751_26747	NA
Wickerhamomyces_canadensis_35639_x_lcl_NODE_38_length_119520_cov_26.587_ID_3976_3811_4665_lcl_NODE_38_length_119520_cov_26.587_ID_3976_3811_4665_ORF12_NODE_38_length_119520_cov_26.587_ID_3976_3810_4664	NA
Wickerhamomyces_canadensis_35639_x_lcl_NODE_3_length_456944_cov_26.3675_ID_2053_20403_21368_lcl_NODE_3_length_456944_cov_26.3675_ID_2053_20403_21368_ORF1845_NODE_3_length_456944_cov_26.3675_ID_2053_20402_21367	NA
Wickerhamomyces_ciferrii_x_lcl_NW_011887546.1_25441_26337_lcl_NW_011887546.1_25441_26337_ORF40_NW_011887546.1_25440_26336	NA
Wickerhamomyces_ciferrii_x_lcl_NW_011887664.1_c73315_72353_lcl_NW_011887664.1_c73315_72353_ORF1729_NW_011887664.1_73314_72352	NA
Wickerhamomyces_ciferrii_x_lcl_NW_011887712.1_102214_103104_lcl_NW_011887712.1_102214_103104_ORF175_NW_011887712.1_102213_103103	NA
Wickerhamomyces_ciferrii_x_lcl_NW_011887712.1_c86182_85271_lcl_NW_011887712.1_c86182_85271_ORF1134_NW_011887712.1_86181_85270	NA
Wickerhamomyces_ciferrii_x_lcl_NW_011887712.1_c91498_90635_lcl_NW_011887712.1_c91498_90635_ORF1123_NW_011887712.1_91497_90634	NA
Wickerhamomyces_ciferrii_x_lcl_NW_011887725.1_c53275_52418_lcl_NW_011887725.1_c53275_52418_ORF347_NW_011887725.1_53274_52417	NA
Wickerhamomyces_hampshirensis_35268_x_lcl_NODE_14_length_278270_cov_29.3736_ID_3947_269718_270617_lcl_NODE_14_length_278270_cov_29.3736_ID_3947_269718_270617_ORF1482_NODE_14_length_278270_cov_29.3736_ID_3947_269717_270616	NA
Wickerhamomyces_hampshirensis_35268_x_lcl_NODE_17_length_172630_cov_35.0434_ID_4407_c16705_15854_lcl_NODE_17_length_172630_cov_35.0434_ID_4407_c16705_15854_ORF1214_NODE_17_length_172630_cov_35.0434_ID_4407_16704_15853	NA
Wickerhamomyces_hampshirensis_35268_x_lcl_NODE_2_length_1379909_cov_21.984_ID_3444_c317645_316761_lcl_NODE_2_length_1379909_cov_21.984_ID_3444_c317645_316761_ORF9204_NODE_2_length_1379909_cov_21.984_ID_3444_317644_316760	NA
Wickerhamomyces_hampshirensis_35268_x_lcl_NODE_2_length_1379909_cov_21.984_ID_3444_c319200_318325_lcl_NODE_2_length_1379909_cov_21.984_ID_3444_c319200_318325_ORF14213_NODE_2_length_1379909_cov_21.984_ID_3444_319199_318324	NA
Wickerhamomyces_hampshirensis_35268_x_lcl_NODE_3_length_1364554_cov_21.9612_ID_3295_1100923_1101867_lcl_NODE_3_length_1364554_cov_21.9612_ID_3295_1100923_1101867_ORF1910_NODE_3_length_1364554_cov_21.9612_ID_3295_1100922_1101866	NA
Wickerhamomyces_hampshirensis_35268_x_lcl_NODE_7_length_646881_cov_19.7783_ID_6034_c46766_45900_lcl_NODE_7_length_646881_cov_19.7783_ID_6034_c46766_45900_ORF5745_NODE_7_length_646881_cov_19.7783_ID_6034_46765_45899	NA
Yamadazyma_nakazawae_35252_x_lcl_NODE_22_length_173645_cov_13.0178_ID_11547_c163861_163013_lcl_NODE_22_length_173645_cov_13.0178_ID_11547_c163861_163013_ORF1264_NODE_22_length_173645_cov_13.0178_ID_11547_163860_163012	NA
Yamadazyma_philogaea_35640_x_lcl_NODE_4_length_571300_cov_30.7617_ID_7_c177311_176463_lcl_NODE_4_length_571300_cov_30.7617_ID_7_c177311_176463_ORF6567_NODE_4_length_571300_cov_30.7617_ID_7_177310_176462	NA
Yamadazyma_scolyti_35641_x_lcl_NODE_9_length_364984_cov_35.4331_ID_4957_c357687_356845_lcl_NODE_9_length_364984_cov_35.4331_ID_4957_c357687_356845_ORF2615_NODE_9_length_364984_cov_35.4331_ID_4957_357686_356844	NA
Zygoascus_meyerae_35243_x_lcl_NODE_4_length_827553_cov_19.7208_ID_1272_c771203_770367_lcl_NODE_4_length_827553_cov_19.7208_ID_1272_c771203_770367_ORF7304_NODE_4_length_827553_cov_19.7208_ID_1272_771202_770366	NA
Zygoascus_ofunaensis_35242_x_lcl_NODE_2_length_1600885_cov_16.5161_ID_3305_570547_571389_lcl_NODE_2_length_1600885_cov_16.5161_ID_3305_570547_571389_ORF1155_NODE_2_length_1600885_cov_16.5161_ID_3305_570546_571388	NA
Zygosaccharomyces_bailii_x_lcl_ZYBA0S06_397985_398848_lcl_ZYBA0S06_397985_398848_ORF2232_ZYBA0S06_397984_398847	NA
Zygosaccharomyces_bisporus_34866_x_lcl_flattened_line_12_145029_145877_lcl_flattened_line_12_145029_145877_ORF1274_flattened_line_12_145028_145876	NA
Zygosaccharomyces_kombuchaensis_34865_x_lcl_NODE_46_length_81813_cov_10.0578_ID_91_26326_27177_lcl_NODE_46_length_81813_cov_10.0578_ID_91_26326_27177_ORF66_NODE_46_length_81813_cov_10.0578_ID_91_26325_27176	NA
Zygosaccharomyces_rouxii_x_lcl_Zyro0G_1455426_1456277_lcl_Zyro0G_1455426_1456277_ORF9714_Zyro0G_1455425_1456276	NA
Zygotorulaspora_florentina_34862_x_lcl_NODE_4_length_647733_cov_24.3938_ID_7_c178681_177830_lcl_NODE_4_length_647733_cov_24.3938_ID_7_c178681_177830_ORF7506_NODE_4_length_647733_cov_24.3938_ID_7_178680_177829	NA
Zygotorulaspora_mrakii_26256_x_lcl_NODE_10_length_344192_cov_17.9972_ID_4796_221407_222267_lcl_NODE_10_length_344192_cov_17.9972_ID_4796_221407_222267_ORF462_NODE_10_length_344192_cov_17.9972_ID_4796_221406_222266	NA
Zygotorulaspora_mrakii_26256_x_lcl_NODE_37_length_49052_cov_19.6207_ID_6762_23412_24365_lcl_NODE_37_length_49052_cov_19.6207_ID_6762_23412_24365_ORF232_NODE_37_length_49052_cov_19.6207_ID_6762_23411_24364	NA
Zygotorulaspora_mrakii_26256_x_lcl_NODE_5_length_530276_cov_18.07_ID_7041_328698_329582_lcl_NODE_5_length_530276_cov_18.07_ID_7041_328698_329582_ORF2734_NODE_5_length_530276_cov_18.07_ID_7041_328697_329581	NA
Cyberlindnera_suaveolens_35687_x_lcl_NODE_101_length_19163_cov_19.4412_ID_10895_141_374_lcl_NODE_101_length_19163_cov_19.4412_ID_10895_141_374_ORF96_NODE_101_length_19163_cov_19.4412_ID_10895_140_373	NA
Arxula_adeninivorans_x_lcl_Arad1D_1785034_1786008_lcl_Arad1D_1785034_1786008_ORF4158_Arad1D_1785033_1786007	NA
Blastobotrys_americana_34681_x_lcl_flattened_line_96_c34094_33120_lcl_flattened_line_96_c34094_33120_ORF612_flattened_line_96_34093_33119	NA
Blastobotrys_mokoenaii_34675_x_lcl_NODE_1_length_970412_cov_36.0026_ID_1_381079_382044_lcl_NODE_1_length_970412_cov_36.0026_ID_1_381079_382044_ORF870_NODE_1_length_970412_cov_36.0026_ID_1_381078_382043	NA
Blastobotrys_mokoenaii_34675_x_lcl_NODE_6_length_536151_cov_35.7945_ID_11_c83862_82852_lcl_NODE_6_length_536151_cov_35.7945_ID_11_c83862_82852_ORF4560_NODE_6_length_536151_cov_35.7945_ID_11_83861_82851	NA
Blastobotrys_nivea_34673_x_lcl_NODE_266_length_6822_cov_3.56332_ID_531_c5902_4919_lcl_NODE_266_length_6822_cov_3.56332_ID_531_c5902_4919_ORF78_NODE_266_length_6822_cov_3.56332_ID_531_5901_4918	NA
Blastobotrys_nivea_34673_x_lcl_NODE_3572_length_1549_cov_2.36479_ID_7143_2_97_lcl_NODE_3572_length_1549_cov_2.36479_ID_7143_2_97_ORF5_NODE_3572_length_1549_cov_2.36479_ID_7143_1_96	NA
Blastobotrys_nivea_34673_x_lcl_NODE_5395_length_757_cov_1.88034_ID_10789_c350_3_lcl_NODE_5395_length_757_cov_1.88034_ID_10789_c350_3_ORF14_NODE_5395_length_757_cov_1.88034_ID_10789_349_2	NA
Blastobotrys_nivea_34673_x_lcl_NODE_677_length_4844_cov_3.85091_ID_1353_27_653_lcl_NODE_677_length_4844_cov_3.85091_ID_1353_27_653_ORF27_NODE_677_length_4844_cov_3.85091_ID_1353_26_652	NA
Blastobotrys_peoriensis_34671_x_lcl_NODE_15_length_224791_cov_11.9214_ID_29_33049_34101_lcl_NODE_15_length_224791_cov_11.9214_ID_29_33049_34101_ORF69_NODE_15_length_224791_cov_11.9214_ID_29_33048_34100	NA
Blastobotrys_proliferans_34670_x_lcl_NODE_24_length_193764_cov_14.1818_ID_47_c95624_94593_lcl_NODE_24_length_193764_cov_14.1818_ID_47_c95624_94593_ORF1963_NODE_24_length_193764_cov_14.1818_ID_47_95623_94592	NA
Blastobotrys_proliferans_34670_x_lcl_NODE_66_length_86436_cov_13.6837_ID_131_59130_60128_lcl_NODE_66_length_86436_cov_13.6837_ID_131_59130_60128_ORF540_NODE_66_length_86436_cov_13.6837_ID_131_59129_60127	NA
